Open,High,Low,Close,Volume
66.106,66.127,66.006,66.006,352
66.007,66.293,65.945,66.254,1361
66.244,66.371,66.221,66.241,681
66.232,66.281,66.001,66.031,734
66.04,66.141,66.02,66.04,266
66.039,66.456,66.029,66.397,838
66.396,66.555,66.278,66.445,1005
66.435,66.493,66.135,66.204,1418
66.213,66.431,66.084,66.152,1693
66.162,66.272,65.945,66.114,1492
66.115,66.23,65.973,66.201,1072
66.221,66.221,66.062,66.152,825
66.171,66.425,66.082,66.396,1467
66.396,66.425,65.682,65.721,2879
65.711,65.8,65.384,65.435,2802
65.454,65.515,65.118,65.167,2269
65.158,65.333,65.138,65.223,1286
65.215,65.399,64.945,65.023,1384
64.992,65.121,64.953,65.019,1168
65.029,65.087,64.9,64.92,492
64.929,64.959,64.879,64.949,450
